smiles1,percentage_1,smiles2,percentage_2,smiles3,percentage_3,L_pred,a_pred,b_pred,delta_e_pred,uncertainty,L_exp,a_exp,b_exp,delta_e_actual,comments
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,C1=CC(=CC=C1C)C,0.35,0,0,82.071426,34.417366,53.010708,7.54039063,0.005009,81.21221234,25.16740247,67.4510655,7.04809947,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c2OCCOc12,0.1,79.171371,28.980469,54.4035,5.109339,0.016045,73.78982924,41.06106654,52.48047848,8.65875598,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c2OCCOc12,0.05,79.145676,32.202927,50.104839,6.830446,0.004767,74.35167534,39.83559724,54.04630991,7.45304049,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.35,Cc1sc(C)c2OCCOc12,0.15,80.266983,29.896379,57.180222,5.034571,0.007051,71.88711646,43.38598012,48.81039854,7.06230682,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1sc(C)c2OCCOc12,0.05,84.020432,18.807543,66.430389,11.086005,0.005532,81.20396208,25.36726745,68.24620094,7.06230682,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.45,0,0,85.634132,13.615864,69.08773,14.684881,0.013321,88.85485773,8.01460363,78.06498772,19.67465933,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.3,Cc1sc(C)c2OCCOc12,0.15,77.211433,37.831196,52.44825,7.396934,0.003034,77.35315914,36.51077084,60.46360828,3.92791286,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1sc(C)c(OC)c1OC,0.05,77.70481,21.534353,59.795383,6.93446917,0.006228,75.90751966,34.35987901,59.49106892,3.22498203,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.3,Cc1sc(C)c2OCCOc12,0.15,75.17487,32.829834,56.942886,3.69748751,0.003455,78.6280552,30.17701792,62.66789118,3.54406082,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.4,Cc1sc(C)c(OC)c1OC,0.1,79.062279,36.911594,55.199902,6.421918,0.002243,81.7597605,22.81685213,67.28573745,8.35416453,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,C1=CC(=CC=C1C)C,0.4,Cc1ccc(C)c2nsnc12,0.05,61.738041,1.819885,39.059616,21.699333,0.019034,77.30686142,8.138053911,58.54345346,15.14937274,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.45,Cc1sc(C)c2OCCOc12,0.05,84.478966,25.442015,70.514252,8.851096,0.018983,86.77320462,11.87061743,75.24301862,16.72947999,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.25,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,73.831161,-16.107693,28.451248,8.249311,0.001646,91.59845276,-4.055756276,77.67966934,,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,Cc1sc(C)c2OCCOc12,0.05,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,74.102882,-15.563915,30.034142,8.108323,0.002165,79.96739047,19.35542494,61.28714612,,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1sc(C)c2OCCOc12,0.05,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.45,72.857231,-13.907586,26.683889,8.235314,0.008578,88.4199392,1.881901517,70.26268195,,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.45,0,0,74.062332,-15.845943,29.089325,8.256058,0.006131,90.93322638,-3.312138898,71.73201551,,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,C1=CC(=CC=C1C)C,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,73.38575,-15.687366,27.278467,8.281942,0.005419,78.01239158,24.28547086,61.41089215,,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,0,0,74.294769,-15.279825,29.888693,8.276795,0.01213,77.31214635,28.07556158,60.58018315,,
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,C1=CC(=CC=C1C)C,0.25,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,,,,,,91.59845276,-4.055756276,77.67966934,,green_loop_1
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,Cc1sc(C)c2OCCOc12,0.05,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,,,,,,79.96739047,19.35542494,61.28714612,,green_loop_1
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1sc(C)c2OCCOc12,0.05,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.45,,,,,,88.4199392,1.881901517,70.26268195,,green_loop_1
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.45,0,0,,,,,,90.93322638,-3.312138898,71.73201551,,green_loop_1
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,C1=CC(=CC=C1C)C,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,,,,,,78.01239158,24.28547086,61.41089215,,green_loop_1
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,0,0,,,,,,77.31214635,28.07556158,60.58018315,,green_loop_1
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,Cc1ccc(C)c2nsnc12,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.3,,,,,,67.59424358,4.90404475,36.86686645,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1ccc(C)c2nsnc12,0.15,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,,,,,,86.46375833,-7.443789436,45.08197624,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc(C)c2nsnc12,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,,,,,,86.4146001,-3.969589496,42.65352366,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1ccc(C)c2nsnc12,0.2,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.3,,,,,,92.0310102,-11.65099496,53.59937906,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,Cc1ccc(C)c2nsnc12,0.05,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.35,,,,,,78.93920494,2.074606452,29.09300713,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1ccc(C)c2nsnc12,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.4,,,,,,95.90504648,-15.90322817,66.46420796,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1ccc(C)c2nsnc12,0.25,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,,,,,,88.59755146,-8.844403667,53.19287695,,green_loop_2
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,Cc1ccc(C)c2nsnc12,0.05,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.3,,,,,,62.62825317,23.59644756,39.29199183,,green_loop_3
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,Cc1ccc(C)c2nsnc12,0.15,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,,,,,,58.06609494,-17.3635387,14.54569276,,green_loop_3
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc(C)c2nsnc12,0.2,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,,,,,,51.59342689,-7.54383093,3.095928392,,green_loop_3
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc(C)c2nsnc12,0.25,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.2,,,,,,50.93001245,-10.68349319,-23.96094883,,green_loop_3
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1ccc(C)c2nsnc12,0.35,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.15,,,,,,49.69183278,4.442791779,-36.86198846,,green_loop_3
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc(C)c2nsnc12,0.15,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.3,,,,,,66.04330694,-8.429348551,22.96154585,,green_loop_3
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.7,Cc1ccc(C)c2nsnc12,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.2,,,,,,46.85081978,15.38472531,13.86680872,,green_loop_4
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.6,Cc1ccc(C)c2nsnc12,0.15,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.25,,,,,,52.76833265,-3.586091326,13.64332145,,green_loop_4
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.5,Cc1ccc(C)c2nsnc12,0.2,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.3,,,,,,60.68138997,-4.22924104,7.367277442,,green_loop_4
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.65,Cc1ccc(C)c2nsnc12,0.15,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.2,,,,,,42.41058982,-6.42246037,1.10668537,,green_loop_4
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.75,Cc1ccc(C)c2nsnc12,0.1,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.15,,,,,,42.46655127,16.41350668,3.294402756,,green_loop_4
Cc1sc(C)c2OCC(COCC(CC)CCCC)(COCC(CC)CCCC)COc12,0.55,Cc1ccc(C)c2nsnc12,0.15,Cc1ccc3c(c1)Cc2cc(C)ccc23,0.3,,,,,,62.85153067,-4.463986815,21.56003166,,green_loop_4
